T,Flux,E
5403.68143,13.916,0.003
5403.69420,13.915,0.003
5403.70813,13.915,0.003
5403.72242,13.920,0.003
5403.73500,13.922,0.003
5403.74760,13.920,0.003
5403.76022,13.923,0.003
5403.77294,13.925,0.003
5403.78544,13.922,0.003
5404.46414,13.917,0.003
5404.47669,13.919,0.003
5404.48936,13.920,0.003
5404.50204,13.917,0.003
5404.51457,13.913,0.003
5404.52717,13.916,0.003
5404.53984,13.923,0.003
5404.55236,13.918,0.003
5404.56489,13.918,0.003
5404.57767,13.917,0.003
5404.59076,13.921,0.003
5404.60468,13.918,0.003
5404.61820,13.918,0.003
5404.63336,13.924,0.003
5404.64682,13.918,0.003
5404.66023,13.916,0.003
5404.67293,13.916,0.003
5404.68672,13.914,0.003
5404.69917,13.921,0.003
5404.71182,13.917,0.003
5404.72450,13.925,0.003
5404.73868,13.924,0.003
5404.75131,13.929,0.003
5404.76669,13.924,0.003
5404.78241,13.927,0.003
5405.61049,13.932,0.003
5405.62473,13.918,0.003
5405.63724,13.933,0.003
5405.64979,13.930,0.003
5405.66425,13.925,0.003
5405.67701,13.921,0.003
5405.68968,13.922,0.003
5405.70236,13.920,0.003
5405.71483,13.923,0.003
5405.72743,13.923,0.003
5405.73983,13.921,0.003
5405.75241,13.922,0.003
5405.76495,13.924,0.003
5405.77745,13.921,0.003
5405.78994,13.922,0.003
5407.46441,13.921,0.003
5407.47922,13.919,0.003
5407.49167,13.923,0.003
5407.50421,13.920,0.003
5407.51709,13.921,0.003
5407.52964,13.921,0.003
5407.54228,13.921,0.003
5407.55532,13.924,0.003
5407.56795,13.921,0.003
5407.58087,13.925,0.003
5407.59388,13.921,0.003
5407.60859,13.925,0.003
5407.62122,13.925,0.003
5407.63403,13.928,0.003
5407.64682,13.926,0.003
5407.65960,13.920,0.003
5407.67208,13.927,0.003
5407.68582,13.929,0.003
5407.69848,13.930,0.003
5407.71126,13.930,0.003
5407.72391,13.932,0.003
5407.73656,13.933,0.003
5407.74920,13.932,0.003
5407.76186,13.925,0.003
5407.77442,13.923,0.003
5408.49670,13.917,0.003
5408.50961,13.924,0.003
5408.52723,13.919,0.003
5408.53968,13.924,0.003
5408.55224,13.920,0.003
5408.57457,13.918,0.003
5408.58771,13.918,0.003
5408.60162,13.918,0.003
5408.61485,13.921,0.003
5408.62755,13.889,0.003
5408.64000,13.915,0.003
5408.65262,13.919,0.003
5408.66618,13.919,0.003
5408.67873,13.919,0.003
5408.69134,13.918,0.003
5408.70407,13.919,0.003
5408.71663,13.920,0.003
5408.72925,13.918,0.003
5408.74176,13.920,0.003
5408.75430,13.919,0.003
5408.76692,13.920,0.003
5408.77934,13.920,0.003
5409.46440,13.919,0.003
5409.47714,13.918,0.003
5409.48954,13.920,0.003
5409.50219,13.915,0.003
5409.51840,13.918,0.003
5409.55331,13.915,0.003
5409.58865,13.919,0.003
5409.62430,13.913,0.003
5409.66018,13.920,0.003
5409.69539,13.915,0.003
5409.73128,13.909,0.003
5409.74388,13.918,0.003
5409.75655,13.921,0.003
5409.76907,13.923,0.003
5409.78162,13.926,0.003
5410.46531,13.920,0.003
5410.48140,13.918,0.003
5410.49394,13.919,0.003
5410.50692,13.916,0.003
5410.51950,13.915,0.003
5410.55565,13.918,0.003
5410.59146,13.916,0.003
5410.62783,13.916,0.003
5410.66355,13.919,0.003
5410.69891,13.923,0.003
5410.73496,13.919,0.003
5410.74758,13.920,0.003
5410.76081,13.919,0.003
5410.77343,13.918,0.003
5411.47056,13.913,0.003
5411.48313,13.919,0.003
5411.49597,13.918,0.003
5411.50848,13.916,0.003
5411.52105,13.918,0.003
5411.55629,13.913,0.003
5411.59144,13.919,0.003
5411.62791,13.920,0.003
5411.66411,13.912,0.003
5411.69966,13.920,0.003
5411.73577,13.914,0.003
5411.74848,13.917,0.003
5411.76117,13.914,0.003
5411.77355,13.920,0.003
5412.50700,13.923,0.003
5412.51961,13.920,0.003
5412.53382,13.920,0.003
5412.54649,13.920,0.003
5412.55951,13.920,0.003
5412.57303,13.917,0.003
5412.58667,13.921,0.003
5412.59957,13.920,0.003
5412.61241,13.921,0.003
5412.62507,13.921,0.003
5412.63778,13.919,0.003
5412.65026,13.919,0.003
5412.66537,13.920,0.003
5412.68100,13.919,0.003
5412.69464,13.921,0.003
5412.72919,13.921,0.003
5412.75519,13.918,0.003
5413.47080,13.917,0.003
5413.48652,13.916,0.003
5413.50077,13.920,0.003
5413.51341,13.915,0.003
5413.54880,13.920,0.003
5413.58475,13.915,0.003
5413.62025,13.917,0.003
5413.65581,13.914,0.003
5413.69262,13.922,0.003
5413.72775,13.917,0.003
5413.74023,13.923,0.003
5413.75298,13.920,0.003
5413.76549,13.928,0.003
5414.46854,13.918,0.003
5414.48121,13.918,0.003
5414.49371,13.915,0.003
5414.50625,13.918,0.003
5414.51896,13.912,0.003
5414.55494,13.912,0.003
5414.59151,13.919,0.003
5414.62768,13.917,0.003
5414.66440,13.917,0.003
5414.70143,13.917,0.003
5414.73955,13.924,0.003
5414.75206,13.927,0.003
5414.76495,13.920,0.003
5416.59784,13.922,0.003
5416.61069,13.923,0.003
5416.62602,13.921,0.003
5416.64378,13.922,0.003
5416.66743,13.923,0.003
5416.68116,13.919,0.003
5416.70655,13.920,0.003
5418.52974,13.918,0.003
5418.54325,13.917,0.003
5418.56235,13.920,0.003
5418.57624,13.918,0.003
5418.59334,13.920,0.003
5418.60662,13.920,0.003
5418.62642,13.921,0.003
5418.64347,13.917,0.003
5418.66165,13.918,0.003
5418.67796,13.922,0.003
5418.69287,13.924,0.003
5418.70825,13.918,0.003
5421.48517,13.919,0.003
5421.50139,13.920,0.003
5421.51516,13.920,0.003
5421.52929,13.919,0.003
5421.54405,13.919,0.003
5421.56114,13.910,0.003
5421.57449,13.917,0.003
5421.58888,13.917,0.003
5421.60586,13.917,0.003
5421.62053,13.916,0.003
5421.63505,13.918,0.003
5421.64882,13.925,0.003
5421.66337,13.919,0.003
5421.67736,13.920,0.003
5421.69125,13.921,0.003
5421.70913,13.925,0.003
5421.72176,13.921,0.003
5422.48545,13.925,0.003
5422.49828,13.927,0.003
5422.51107,13.927,0.003
5422.52606,13.919,0.003
5422.54202,13.917,0.003
5422.55713,13.919,0.003
5422.62469,13.916,0.003
