star_name,before_transit_start,during_transit,after_transit_end
OGLE-TR-1091,5.324324324324325,2.0,5.373134328358209
OGLE-TR-1092,6.055679287305122,6.315789473684211,6.053134962805526
OGLE-TR-1093,6.058727569331158,4.79245283018868,6.059701492537314
OGLE-TR-1094,5.362637362637362,3.142857142857143,5.256198347107438
OGLE-TR-1095,6.130584192439863,5.75,6.763380281690141
OGLE-TR-1096,6.259637188208616,5.388888888888889,6.078242229367631
OGLE-TR-1097,6.411764705882353,3.5,5.434210526315789
OGLE-TR-1098,6.204620462046204,3.333333333333333,6.012618296529968
OGLE-TR-1099,5.720569210866753,5.375,5.844705882352941
OGLE-TR-10,5.801980198019802,3.0,5.560975609756097
OGLE-TR-56,5.3478260869565215,2.0,5.373493975903615
OGLE-TR-111,4.7,3.5,5.3125
OGLE-TR-132,5.45679012345679,2.0,4.814814814814815
OGLE-TR-211,5.490196078431373,4.666666666666667,5.5754716981132075
