Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
67,-100.0132042505345,-15.253388888888887,3,1.0
68,-99.7123213505345,-15.252411764705883,12,0.3939393939393939
69,-99.41143845053452,-15.2528,6,0.6
70,-99.11055555053454,-15.254125000000002,3,1.0
71,-98.80967265053454,-15.2548,3,1.0
72,-98.50878975053456,-15.253217391304347,12,0.4090909090909091
73,-98.20790685053458,-15.254555555555555,6,0.7333333333333333
74,-97.90702395053458,-15.255117647058823,4,1.0
75,-97.6061410505346,-15.2548125,4,1.0
76,-97.30525815053463,-15.253909090909092,9,0.5833333333333334
77,-97.00437525053462,-15.254052631578947,5,1.0
78,-96.70349235053465,-15.25408695652174,5,1.0
79,-96.40260945053467,-15.252833333333333,13,0.3717948717948718
80,-96.10172655053466,-15.2533125,4,0.8333333333333334
81,-95.80084365053469,-15.254136363636364,3,1.0
82,-95.49996075053471,-15.253416666666666,5,0.6
83,-95.1990778505347,-15.254263157894737,2,1.0
84,-94.89819495053473,-15.250714285714286,27,0.15669515669515668
85,-94.59731205053475,-15.254214285714284,4,0.8333333333333334
86,-94.29642915053475,-15.256473684210526,3,1.0
87,-93.99554625053477,-15.253235294117648,4,0.8333333333333334
88,-93.6946633505348,-15.251764705882355,9,0.3611111111111111
89,-93.39378045053479,-15.255368421052633,2,1.0
90,-93.09289755053481,-15.252799999999999,5,0.5
91,-92.79201465053484,-15.253470588235292,2,1.0
92,-92.49113175053483,-15.252736842105264,5,0.6
93,-92.19024885053486,-15.252055555555554,6,0.6
94,-91.88936595053488,-15.252125,4,0.6666666666666666
95,-91.58848305053488,-15.252999999999997,2,1.0
96,-91.2876001505349,-15.251375,11,0.3090909090909091
97,-90.98671725053492,-15.254190476190475,3,1.0
98,-90.68583435053492,-15.25375,4,0.6666666666666666
99,-90.38495145053494,-15.255263157894735,2,1.0
100,-90.08406855053497,-15.25257894736842,8,0.42857142857142855
101,-89.78318565053496,-15.253333333333334,4,0.8333333333333334
102,-89.48230275053498,-15.25311111111111,5,0.6
103,-89.18141985053501,-15.253428571428568,4,0.6666666666666666
104,-88.880536950535,-15.254333333333333,3,1.0
105,-88.57965405053503,-15.254266666666666,3,1.0
106,-88.27877115053505,-15.251473684210527,15,0.2571428571428571
107,-87.97788825053505,-15.254000000000001,3,1.0
