T,Mag
5.417999994502907,14.686
5.54399999450402,14.687
5.600399994508962,14.676
5.644559994511042,14.679
5.719679994505896,14.674
5.868239994508372,14.673
5.963519994505191,14.68
6.0705599945088125,14.682
6.141839994515067,14.681
6.1471199945099215,14.685
6.239279994507456,14.677
6.301919994501418,14.679
6.452159994511931,14.683
6.580799994494782,14.674
6.759359994500301,14.678
6.782399994515117,14.675
6.85607999450815,14.676
6.881999994514672,14.68
7.07951999451052,14.679
7.130879994504653,14.673
7.257839994494475,14.676
7.2712799945130655,14.676
7.3862399945110155,14.679
7.445519994524375,14.676
7.6943999945061705,14.677
7.721519994510345,14.681
8.016479994522456,14.681
8.069999994503632,14.68
8.090879994506508,14.679
8.134079994507601,14.676
8.25335999450283,14.676
8.26559999450842,14.683
8.316479994517067,14.678
8.362799994507554,14.671
8.379119994508983,14.684
8.426159994535169,14.678
8.754719994515654,14.683
8.837999994533902,14.676
8.962559994513072,14.681
9.065519994500391,14.682
9.083519994510539,14.682
9.12287999450939,14.686
9.22487999451107,14.677
9.336719994510759,14.679
9.369599994505847,14.68
9.37991999449548,14.679
9.386159994520312,14.683
9.53735999452158,14.671
9.933119994507365,14.677
9.989759994512724,14.672
10.05551999451211,14.674
10.464719994522284,14.677
10.525919994522269,14.677
10.847279994509677,14.68
11.038319994502785,14.685
11.111759994501199,14.685
11.263439994517626,14.671
11.460479994514003,14.679
11.478959994508273,14.675
11.586479994516822,14.682
11.890079994512575,14.671
12.16967999451981,14.678
12.187919994503773,14.678
12.189119994510634,14.682
12.27647999450187,14.678
12.317759994503376,14.676
12.334079994495937,14.671
12.414719994505845,14.677
12.468239994508167,14.677
12.488399994502629,14.673
12.695039994517401,14.682
12.744239994509826,14.679
12.76751999452199,14.673
12.793679994517674,14.677
13.09919999450483,14.675
13.107119994507684,14.682
13.172159994515368,14.677
13.29767999451326,14.683
13.397999994516454,14.677
13.46519999451391,14.678
13.48271999450617,14.676
13.618559994500515,14.672
13.785839994510297,14.677
13.907039994515344,14.673
14.125199994517402,14.678
14.314559994512365,14.674
14.480879994509905,14.674
14.548079994515888,14.683
14.56295999451379,14.678
14.712239994506945,14.682
14.744639994519616,14.675
14.815439994508324,14.677
14.899199994524338,14.677
14.909279994505027,14.672
14.914799994525879,14.677
